year;stars;forks;language
2024;0;0;TeX
2025;0;0;TeX
2012;0;0;TypeScript
2013;0;0;TypeScript
2014;0;0;TypeScript
2015;0;0;TypeScript
2016;0;0;TypeScript
2017;0;0;TypeScript
2018;33;2;TypeScript
2019;97;6;TypeScript
2020;280;21;TypeScript
2021;1227;233;TypeScript
2022;1441;237;TypeScript
2023;12881;1621;TypeScript
2024;9267;886;TypeScript
2025;46564;4753;TypeScript
2012;0;0;Vue
2013;0;0;Vue
2014;0;0;Vue
2015;0;0;Vue
2016;0;0;Vue
2017;0;0;Vue
2018;0;0;Vue
2019;0;0;Vue
2020;0;0;Vue
2021;179;65;Vue
2022;0;0;Vue
2023;0;0;Vue
2024;0;0;Vue
2025;2472;144;Vue
